id,label,pred
Chart-1-patch0-tbar-correct-generated,0,0
Chart-1-patch1-tbar-incorrect-generated,1,1
Chart-1-patch2-tbar-incorrect-generated,1,1
Chart-1-patch3-tbar-incorrect-generated,1,1
Chart-1-patch4-tbar-incorrect-generated,1,1
Chart-1-patch5-tbar-incorrect-generated,1,1
Chart-1-patch6-tbar-incorrect-generated,1,1
Chart-1-patch7-tbar-incorrect-generated,1,1
Chart-1-patch8-tbar-incorrect-generated,1,1
Chart-4-patch0-tbar-correct-generated,0,0
Chart-4-patch1-tbar-incorrect-generated,1,0
Chart-4-patch2-tbar-incorrect-generated,1,0
Chart-4-patch3-tbar-correct-generated,0,0
Chart-8-patch0-tbar-correct-generated,0,0
Chart-9-patch0-tbar-correct-generated,0,0
Chart-11-patch0-tbar-correct-generated,0,0
Chart-11-patch1-tbar-correct-generated,0,0
Chart-12-patch0-tbar-incorrect-generated,1,1
Chart-12-patch1-tbar-correct-generated,0,0
Chart-12-patch2-tbar-correct-generated,0,0
Chart-12-patch3-tbar-correct-generated,0,0
Chart-20-patch0-tbar-correct-generated,0,0
Chart-24-patch0-tbar-correct-generated,0,0
Chart-26-patch0-tbar-incorrect-generated,1,1
Chart-26-patch1-tbar-incorrect-generated,1,1
Chart-26-patch2-tbar-incorrect-generated,1,1
Chart-26-patch3-tbar-incorrect-generated,1,1
Chart-26-patch4-tbar-incorrect-generated,1,1
Chart-26-patch5-tbar-incorrect-generated,1,1
Chart-26-patch6-tbar-incorrect-generated,1,1
Chart-26-patch7-tbar-incorrect-generated,1,1
Chart-26-patch8-tbar-incorrect-generated,1,1
Chart-26-patch9-tbar-incorrect-generated,1,1
Chart-26-patch10-tbar-incorrect-generated,1,1
Chart-26-patch11-tbar-incorrect-generated,1,1
Chart-26-patch12-tbar-incorrect-generated,1,1
Chart-26-patch13-tbar-incorrect-generated,1,1
Chart-26-patch14-tbar-incorrect-generated,1,1
Chart-26-patch15-tbar-incorrect-generated,1,1
Chart-26-patch16-tbar-incorrect-generated,1,1
Chart-26-patch17-tbar-incorrect-generated,1,1
Chart-26-patch18-tbar-incorrect-generated,1,1
Chart-26-patch19-tbar-incorrect-generated,1,1
Chart-26-patch20-tbar-incorrect-generated,1,1
Chart-26-patch21-tbar-incorrect-generated,1,1
Chart-26-patch22-tbar-incorrect-generated,1,1
Chart-26-patch23-tbar-incorrect-generated,1,1
Chart-26-patch24-tbar-incorrect-generated,1,1
Chart-26-patch25-tbar-incorrect-generated,1,1
Chart-26-patch26-tbar-incorrect-generated,1,1
Chart-26-patch27-tbar-incorrect-generated,1,1
Chart-26-patch28-tbar-incorrect-generated,1,1
Chart-26-patch29-tbar-incorrect-generated,1,1
Chart-26-patch30-tbar-incorrect-generated,1,1
Chart-26-patch31-tbar-incorrect-generated,1,1
Chart-26-patch32-tbar-incorrect-generated,1,1
Chart-26-patch33-tbar-incorrect-generated,1,1
Chart-26-patch34-tbar-incorrect-generated,1,1
Chart-26-patch35-tbar-incorrect-generated,1,1
Chart-26-patch36-tbar-incorrect-generated,1,1
Chart-26-patch37-tbar-incorrect-generated,1,1
Chart-26-patch38-tbar-incorrect-generated,1,1
Chart-26-patch39-tbar-incorrect-generated,1,1
Chart-26-patch40-tbar-incorrect-generated,1,1
Chart-26-patch41-tbar-incorrect-generated,1,1
Chart-26-patch42-tbar-incorrect-generated,1,1
Chart-26-patch43-tbar-correct-generated,0,0
Chart-26-patch44-tbar-incorrect-generated,1,0
Chart-26-patch45-tbar-incorrect-generated,1,0
Chart-26-patch46-tbar-correct-generated,0,0
Closure-10-patch0-tbar-incorrect-generated,1,0
Closure-10-patch1-tbar-incorrect-generated,1,0
Closure-10-patch2-tbar-incorrect-generated,1,0
Closure-10-patch3-tbar-incorrect-generated,1,0
Closure-10-patch4-tbar-incorrect-generated,1,1
Closure-10-patch5-tbar-correct-generated,0,0
Closure-46-patch0-tbar-correct-generated,0,0
Closure-46-patch1-tbar-incorrect-generated,1,0
Closure-46-patch2-tbar-incorrect-generated,1,0
Closure-46-patch3-tbar-incorrect-generated,1,0
Closure-46-patch4-tbar-incorrect-generated,1,0
Closure-46-patch5-tbar-incorrect-generated,1,0
Closure-46-patch6-tbar-incorrect-generated,1,0
Closure-46-patch7-tbar-incorrect-generated,1,0
Closure-46-patch8-tbar-incorrect-generated,1,0
Closure-46-patch9-tbar-incorrect-generated,1,0
Closure-46-patch10-tbar-incorrect-generated,1,0
Closure-46-patch11-tbar-incorrect-generated,1,0
Closure-46-patch12-tbar-incorrect-generated,1,0
Closure-46-patch13-tbar-incorrect-generated,1,0
Closure-62-patch0-tbar-correct-generated,0,0
Closure-62-patch1-tbar-incorrect-generated,1,0
Closure-62-patch2-tbar-incorrect-generated,1,0
Closure-62-patch3-tbar-incorrect-generated,1,0
Closure-62-patch4-tbar-incorrect-generated,1,0
Closure-70-patch0-tbar-correct-generated,0,0
Closure-73-patch0-tbar-correct-generated,0,0
Closure-73-patch1-tbar-correct-generated,0,0
Closure-73-patch2-tbar-correct-generated,0,0
Closure-86-patch0-tbar-correct-generated,0,0
Closure-126-patch0-tbar-incorrect-generated,1,0
Closure-126-patch1-tbar-incorrect-generated,1,0
Closure-126-patch2-tbar-incorrect-generated,1,1
Closure-126-patch3-tbar-incorrect-generated,1,1
Closure-126-patch4-tbar-correct-generated,0,1
Closure-126-patch5-tbar-incorrect-generated,1,0
Closure-126-patch6-tbar-incorrect-generated,1,0
Closure-126-patch7-tbar-incorrect-generated,1,0
Closure-126-patch8-tbar-incorrect-generated,1,0
Closure-126-patch9-tbar-incorrect-generated,1,0
Closure-126-patch10-tbar-incorrect-generated,1,0
Closure-126-patch11-tbar-incorrect-generated,1,0
Closure-126-patch12-tbar-correct-generated,0,0
Lang-6-patch0-tbar-correct-generated,0,0
Lang-26-patch0-tbar-correct-generated,0,0
Lang-47-patch0-tbar-correct-generated,0,0
Lang-57-patch0-tbar-correct-generated,0,0
Lang-57-patch1-tbar-incorrect-generated,1,0
Lang-57-patch2-tbar-incorrect-generated,1,0
Lang-57-patch3-tbar-incorrect-generated,1,0
Lang-57-patch4-tbar-incorrect-generated,1,0
Lang-57-patch5-tbar-incorrect-generated,1,0
Lang-59-patch0-tbar-correct-generated,0,0
Math-4-patch0-tbar-correct-generated,0,0
Math-5-patch0-tbar-correct-generated,0,0
Math-5-patch1-tbar-correct-generated,0,0
Math-30-patch0-tbar-correct-generated,0,0
Math-30-patch1-tbar-incorrect-generated,1,0
Math-30-patch2-tbar-incorrect-generated,1,0
Math-30-patch3-tbar-incorrect-generated,1,0
Math-30-patch4-tbar-incorrect-generated,1,0
Math-30-patch5-tbar-incorrect-generated,1,0
Math-30-patch6-tbar-incorrect-generated,1,0
Math-34-patch0-tbar-correct-generated,0,0
Math-50-patch0-tbar-incorrect-generated,1,1
Math-50-patch1-tbar-incorrect-generated,1,1
Math-50-patch2-tbar-incorrect-generated,1,1
Math-50-patch3-tbar-incorrect-generated,1,1
Math-50-patch4-tbar-incorrect-generated,1,1
Math-50-patch5-tbar-incorrect-generated,1,1
Math-50-patch6-tbar-incorrect-generated,1,1
Math-50-patch7-tbar-incorrect-generated,1,1
Math-50-patch8-tbar-incorrect-generated,1,1
Math-50-patch9-tbar-incorrect-generated,1,1
Math-50-patch10-tbar-incorrect-generated,1,1
Math-50-patch11-tbar-incorrect-generated,1,1
Math-50-patch12-tbar-incorrect-generated,1,1
Math-50-patch13-tbar-incorrect-generated,1,1
Math-50-patch14-tbar-incorrect-generated,1,1
Math-50-patch15-tbar-incorrect-generated,1,1
Math-50-patch16-tbar-incorrect-generated,1,1
Math-50-patch17-tbar-incorrect-generated,1,1
Math-50-patch18-tbar-incorrect-generated,1,1
Math-50-patch19-tbar-incorrect-generated,1,1
Math-50-patch20-tbar-incorrect-generated,1,1
Math-50-patch21-tbar-incorrect-generated,1,1
Math-50-patch22-tbar-incorrect-generated,1,0
Math-50-patch23-tbar-incorrect-generated,1,1
Math-50-patch24-tbar-incorrect-generated,1,1
Math-50-patch25-tbar-incorrect-generated,1,1
Math-50-patch26-tbar-incorrect-generated,1,1
Math-50-patch27-tbar-incorrect-generated,1,1
Math-50-patch28-tbar-incorrect-generated,1,1
Math-50-patch29-tbar-incorrect-generated,1,1
Math-50-patch30-tbar-incorrect-generated,1,1
Math-50-patch31-tbar-incorrect-generated,1,1
Math-50-patch32-tbar-incorrect-generated,1,1
Math-50-patch33-tbar-incorrect-generated,1,1
Math-50-patch34-tbar-incorrect-generated,1,1
Math-50-patch35-tbar-incorrect-generated,1,1
Math-50-patch36-tbar-incorrect-generated,1,1
Math-50-patch37-tbar-incorrect-generated,1,1
Math-50-patch38-tbar-incorrect-generated,1,1
Math-50-patch39-tbar-incorrect-generated,1,1
Math-50-patch40-tbar-incorrect-generated,1,1
Math-50-patch41-tbar-incorrect-generated,1,1
Math-50-patch42-tbar-incorrect-generated,1,1
Math-50-patch43-tbar-correct-generated,0,1
Math-50-patch44-tbar-correct-generated,0,1
Math-50-patch45-tbar-correct-generated,0,1
Math-50-patch46-tbar-incorrect-generated,1,1
Math-50-patch47-tbar-incorrect-generated,1,1
Math-50-patch48-tbar-incorrect-generated,1,1
Math-50-patch49-tbar-incorrect-generated,1,1
Math-50-patch50-tbar-incorrect-generated,1,1
Math-50-patch51-tbar-incorrect-generated,1,1
Math-50-patch52-tbar-incorrect-generated,1,1
Math-50-patch53-tbar-incorrect-generated,1,1
Math-50-patch54-tbar-incorrect-generated,1,1
Math-50-patch55-tbar-incorrect-generated,1,1
Math-50-patch56-tbar-incorrect-generated,1,1
Math-50-patch57-tbar-incorrect-generated,1,1
Math-50-patch58-tbar-incorrect-generated,1,1
Math-50-patch59-tbar-incorrect-generated,1,1
